university;study_programme
University of East Anglia;Biological and Medicinal Chemistry with a Year in North America
University of Birmingham;English Language and Applied Linguistics
University of Huddersfield;Advanced Metrology and Optical Instrumentation
University of Southampton;General Studies
Nottingham Trent University;Accounting and Finance
University of Nottingham;History (Research)
University of Birmingham;Advanced Manipulative Physiotherapy
University of Glasgow;Law (General)
Middlesex University;E-Marketing and Social Media
Imperial College London;Computing Degree
University of Surrey;Computing
Cardiff University;Global Area Studies: History and Ideologies
University of Kent at Canterbury;International Business
University of Stirling;Business, Finance and Sport
The Queen's University Belfast;Environmental and Civil Engineering (Sandwich)
University of Cambridge;Cambridge Business Administration
University of Hull;Public Health
Imperial College London;Biotechnology with French for Science
University of Glasgow;Criminology and Criminal Justice
Imperial College London;Biomedical Engineering with Neurotechnology
University of Edinburgh;Public Policy (MPP)
Heythrop College;Pastoral Theology
University of Stirling;Applied Studies (Child Welfare and Protection)
Coventry University;Food and Nutrition
Imperial College London;Biomedical Engineering with Biomechanics
Imperial College London;International Health Management
University of Leeds;Fire and Explosion Engineering
University of Essex;Theatre Directing
University of Manchester;Public Health
University College London;Arts and Sciences with Study Abroad
Cardiff University;Logistics and Operations Management
Anglia Ruskin University;Children and Young People
University of Southampton;German
University of London;Investment and Finance (Pathway Option: CISI Specialist in Wealth Management)
University of Birmingham;Physics and Astronomy (Ultra Cold Atoms Specialism)
University College London;Gender and Sexuality Studies
University of Leeds;Biomedical and Health Care Ethics
University of Essex;History and Criminology (including Year Abroad)
University of Dundee;History
Oxford Brookes University;Education (TESOL)
University of Essex;Accounting and Management
University of Wales;Remote Sensing and Geographical Information Systems
University of Dundee;Neuroscience
Institute of Education;Education
Heriot-Watt University;Architectural Engineering
University of Newcastle-upon-Tyne;Clinical Education
University of Sunderland;Automotive Engineering
University of the West of England;International Management
Imperial College London;Petroleum Engineering
Imperial College London;Computing Science
Sheffield Hallam University;Logistics and Supply Chain Management
Southampton Solent University;International Trade Regulation
University of Hertfordshire;Software Engineering
University of Dundee;Economics
University of Leeds;Plant Science and Biotechnology
Imperial College London;Biomedical Engineering with Medical Physics
University of Bath;International Money and Banking
University of Glasgow;Nanoscience and Nanotechnology
Coventry University;Air Transport Management
Imperial College London;Chemistry with Medicinal Chemistry
King's College London;Mindfulness: Neuroscience and Clinical Applications
University of Birmingham;Theology
University of Teesside;Software Engineering
Imperial College London;Mathematics with a Year in Europe
University of East Anglia;Ecology (with a Year Abroad)
Institute of Education;Lifelong Learning (Policy and Management)
Imperial College London;Materials with Management
University of Birmingham;Geotechnical Engineering
University of Dundee;Geography with German
Bangor University;History
Imperial College London;Chemistry
University of Birmingham;American and Canadian Studies and Film Studies
University of Oxford;Archaeological Science
Sheffield Hallam University;Forensic Criminology
Heythrop College;Philosophy and Religion
Oxford Brookes University;Social Work
University of Southampton;Physics
University of Oxford;Criminology
Bangor University;Exercise Rehabilitation
Imperial College London;Future Power Networks
University of Edinburgh;Global Development Challenges
University of Southampton;Archaeology and Anthropology
Napier University;Design (Graphics)
Middlesex University;International Politics and Law
University of Surrey;Health Care Management
University of Northumbria at Newcastle;Architectural Technology
Imperial College London;Global Innovation Design
University of Essex;Management, Mathematics and Economics (including foundation year)
Falmouth University;Professional Writing
University of Edinburgh;Banking and Risk
University of Wales;Cultural Astronomy and Astrology
University of Stirling;Child Development
University of Leeds;Transport Economics
University of Kent at Canterbury;Accounting
Imperial College London;Ecology and Environmental Biology
Heriot-Watt University;Water and Environmental Management
University College London;IMESS: International Economy, State and Society
University of Cambridge;Music
Bournemouth University;Computer Animation Arts
University of Leeds;Automotive Engineering
Kingston University;Coaching and Mentoring for High Performance
University of Surrey;Translation Studies
University of Huddersfield;Product Design (Industrial)
University of Essex;Accounting
University of the West of England;Graphic Arts
Bournemouth University;Advertising
University of Manchester;Peacebuilding
University of Sheffield;Biochemistry and Genetics
University of Bath;Pharmacy and Pharmacology
University of Manchester;Genetic Counselling
University of Essex;Psychological Studies with English for Academic Purposes
London School of Economics and Political Science;Government and Economics
Northumbria University London Campus;Digital Marketing with Advanced Practice
University of Bristol;Social Science (Policies Studies)
University of Hull;Games Programming
University of Birmingham;History of Art
University of Bath;Social and Policy Sciences
The Queen's University Belfast;Teaching English to Speakers of Other Languages (TESOL)
University of the West of England;MBA
Coventry University;International Law
Southampton Solent University;Marketing with Advertising Management
Nottingham Trent University;Accounting and Finance
University of Bath;Wellbeing in Public Policy and International Development
Imperial College London;Composites: Science, Technology and Engineering Application of Advanced Composites
University of East Anglia;Language with Management Studies (Double Degree)
Heythrop College;Study of Religions
University of Teesside;Energy and Environmental Management
University of Essex;Criminology and American Studies (4 years)
University of London;Telecommunications in the Business Environment (Networks Pathway)
University of East Anglia;Molecular Biology and Genetics
University of Oxford;Economics and Management
Cardiff University;Distributed and Scientific Computing
University of Southampton;Crime Analysis
University of Southampton;Photonic Technologies
University of Oxford;Management
Cardiff University;Management and Business Studies
University of Edinburgh;Scottish Programme in Economics
University of Liverpool;Egyptology
Loughborough University;Sport and Exercise Psychology
Imperial College London;Chemistry with Medicinal Chemistry and a Year in Industry
University of Essex;Computing and Electronic Systems
University of Southampton;International Business Law
Imperial College London;Innovation, Entrepreneurship and Management
Anglia Ruskin University;International Nursing Studies (with option of Overseas Nursing Programme)
University of Dundee;Mental Health Nursing
Imperial College London;Hydrology and Water Resources Management or (and Business Management) or (and Sustainable Development)
Anglia Ruskin University;Network Management
Imperial College London;Physics with a Year in Europe
Coventry University;Accounting and Finance
University of Essex;History (including Year Abroad)
University of Wales;Monastic Studies
Bournemouth University;Law and CPE
University of Essex;Theory and Practice of Human Rights
Imperial College London;MBA
Institute of Education;TESOL (Teaching of English to Speakers of Other Languages) Pre-Service
Kingston University;English Literature
University of Liverpool;Biochemistry
University of Sheffield;Politics
University of Newcastle-upon-Tyne;Ancient History
University of Edinburgh;Next Generation Drug Discovery
University of Kent at Canterbury;Biomedical Science with a Year Abroad
University of Essex;Management and Marketing
Brunel University Uxbridge;Aerospace Engineering
University of Leicester;Geographical Information Systems
University of London;Information Security
University of Newcastle-upon-Tyne;Oncology and Palliative Care and Oncology for the Pharmaceutical Industry
University of Essex;Mathematics, Cryptography and Network Security
Imperial College London;Investment and Wealth Management
University of Greenwich;Maritime History
Goldsmiths;Comparative Literary Studies: Modern Literature
University of Nottingham;History
School of Oriental and African Studies;Dispute and Conflict Resolution
University of the West of England;Design
University of the West of England;Accounting and Financial Management
Imperial College London;Risk Management and Financial Engineering
University of Exeter;Psychological Therapies
Manchester Metropolitan University;Pharmacy
Imperial College London;Computing Degree
University of Stirling;Historical Research
Bournemouth University;Scriptwriting for Film and Television
Bangor University;Wetland Science and Conservation
University of Dundee;Dentistry — including predental year
University of Bristol;Complexity Sciences
Imperial College London;Statistics
University of Birmingham;Health Research
Imperial College London;Metals and Energy Finance
University of Leeds;Global Racism Studies
University of Manchester;Financial Economics
University of Greenwich;Nursing (Pre-Registration) — Adult Nursing (Avery Hill Campus)
University of Bath;Coach Education and Sports Development
Cardiff University;Informatics
Coventry University;Journalism and Media
University of Southampton;Music
Imperial College London;Physics and Music Performance
University of Teesside;Mobile App Development
University of Leeds;Accounting and Finance
Glasgow Caledonian University;International Supply Chain Management (3rd Year Entry)
University of Sheffield;Stem Cell and Regenerative Medicine
Middlesex University;Human Resource Management
Imperial College London;Medical Ultrasound (Echocardiography)
The Queen's University Belfast;Human Rights
The University of Buckingham;Economics with History
University of Liverpool;Advanced Computer Science with Internet Economics
Durham University;History
Kingston University;Design: Product, Space and the Creative Economy
University of Nottingham;English Literature
University of Oxford;Pharmacology
Cardiff University;Catalysis
University of London;Petroleum Geoscience
Bournemouth University;Clinical Exercise Science
University of Greenwich;Public Health
School of Oriental and African Studies;International Studies and Diplomacy
University of Glasgow;Inclusive Education: Policy and Practice
University of Greenwich;Business Technology Management
University of Leicester;English Language and Linguistics
University of the West of England;Events Management
University of Dundee;Civil Engineering Design and Management
London School of Economics and Political Science;Race, Ethnicity and Post Colonial Studies
Sheffield Hallam University;Writing
University of Northampton;Child and Adolescent Mental Health
University of Stirling;Health Psychology
Anglia Ruskin University;Sustainable Construction
Coventry University;Automotive and Transport Design
School of Oriental and African Studies;Music and Development
University of the West of England;Human Resource Management (International)
Falmouth University;Acting
University of Leeds;Water, Sanitation and Health Engineering
University of Birmingham;Biochemical Engineering
University of Stirling;Gender Studies (Applied)
University of London;Law By Research
King's College London;Human and Applied Physiology
University of Northampton;Biology
University of Leeds;Social and Cultural Geography
University of Bedfordshire;Business Information Systems
University of East Anglia;Education
University of London;Physics (Theoretical, Particle and Condensed Matter Pathways)
Loughborough University;Sport and Exercise Nutrition
London School of Business and Finance;Finance
Sheffield Hallam University;Pathological Sciences
Middlesex University;Writing for Creative and Professional Practice
Imperial College London;Mathematics (Pure Mathematics)
Brunel University Uxbridge;Media and Public Relations
University of Leeds;Disability and Special Education
University of Newcastle-upon-Tyne;Pharmacology
University of Essex;Survey Methodology
University of Leeds;International Social Transformation
University of Surrey;Music
University of Bristol;Earth Sciences
University of York;Corporate Social Responsibility with Environmental Management
Imperial College London;Plant Chemical Biology: Multidisciplinary Research for Next Generation Agri-Sciences
Kingston University;Psychology
University of Surrey;Environmental Psychology
Imperial College London;Chemical Engineering with Year Abroad
University of Kent at Canterbury;German and French
University of the West of England;Information Management
King's College London;European Studies
University of Bristol;Computer Science
University of Essex;Physiotherapy
Falmouth University;Creative Events Management
The Queen's University Belfast;English Literary Studies
Bangor University;Celtic Archaeology
Bournemouth University;Business Law
University of Oxford;History of Art
University of Bath;Management
University of the West of England;Environmental Health
Imperial College London;Electrical and Electronic Engineering
Durham University;Marketing
London School of Economics and Political Science;Media and Communications (Media and Communication Governance)
University of Reading;Typeface Design
University of Leeds;International Marketing Management
University of Essex;Modern History and Politics
University College London;Archaeology and Anthropology
Cardiff University;Theology
University of Manchester;Management of Projects: Commercial Project Management
University of Edinburgh;Critical Theory (by research)
University of Edinburgh;International Animal Health
Kingston University;Geographical Information Systems and Science
University of Cambridge;Criminology
University of Kent at Canterbury;Environmental Social Sciences
Glasgow Caledonian University;Physiotherapy (pre-registration)
University of Leeds;SUDS retrofit planning: a scalar approach to site prioritisation
University of Westminster;Marketing Communications
King's College London;Education Management
University of London;New Political Communication
Oxford Brookes University;Marketing
King's College London;English in Education
University of Leeds;Gender Studies (Research)
University of the West of England;Health Psychology
University of London;Petroleum Geoscience
BPP University;International Marketing
University of Newcastle-upon-Tyne;Drug Chemistry
University of Essex;Finance with a Modern Language
University of Stirling;Behavioural Science for Management
Durham University;English Literature and History
University of Manchester;Health Care Ethics and Law
Glasgow Caledonian University;Social Sciences
Cardiff University;Architectural History and Theory
Falmouth University;Creative Advertising
University of Surrey;Transport Planning and Practice
University of Essex;Literature and History of Art (including foundation year)
School of Oriental and African Studies;International Management (China)
Brunel University Uxbridge;Mechanical Engineering with Automotive Design
University of Newcastle-upon-Tyne;Politics and Economics
King's College London;Clinical Neuroscience
University of Oxford;Engineering Science
Coventry University;Automotive and Transport Design
Anglia Ruskin University;Marketing Management Practice
University of Essex;Computer Science with English for Academic Purposes
University of Kent at Canterbury;Industrial Relations (Research)
Durham University;Business and Management
Bournemouth University;Directing Digital Film and Television
University of York;Green Chemistry and Sustainable Industrial Technology
London School of Economics and Political Science;Statistics
University of Leicester;Global Financial Markets
University of Wales;Animation
University of Birmingham;Philosophy of Health and Happiness
University of Gloucestershire;Composite Business and Management
University of York;Film and Literature
University of East Anglia;Meteorology and Oceanography with a Year in Industry
Imperial College London;Medicine
University of Dundee;Geography
University of Manchester;Advanced Chemical Engineering
University of Southampton;French and German
Bournemouth University;Applied Data Analytics
University of St. Andrews;Banking and Finance
University of Cambridge;Bioscience Enterprise
University of Warwick;Engineering Business Management
Sheffield Hallam University;Advanced Design Engineering
University of Nottingham;Crop Biotechnology and Entrepreneurship
Metropolitan University;Creative Writing
University of Greenwich;Business Administration
Imperial College London;Catalysis: Chemistry and Engineering
University of Leeds;Advanced Photonic Biosensors and Laser Materials Processing
Bangor University;Performance
Bournemouth University;Archaeological Practice
Goldsmiths;English
Sheffield Hallam University;Cultural Studies
University of Oxford;Fine Art
Oxford Brookes University;Fine Art
University of Nottingham;English Studies (Web based Distance Learning)
University of London;European Law (1 Year or 2 Years Part-time)
University of Glasgow;Children Literature and Literacies
Imperial College London;Clinical Research
University of Glasgow;Finance and Management
University of Central Lancashire;Interpreting and Translation
University of Greenwich;Marine Engineering Technology
Imperial College London;Medicine
University of Leeds;Applied and Professional Ethics
University of Stirling;Investment and Finance
University of Leeds;Global Innovation Management
Imperial College London;Molecular Biology and Pathology of Viruses
The University of Buckingham;Garden History
King's College London;Cultural and Creative Industries
Kingston University;Fashion
University of Essex;Philosophy and Law
Loughborough University;Physics of Materials
University of Warwick;Manufacturing Systems Engineering (MSE)
Middlesex University;Biomedical Science (Clinical Biochemistry)
University of East Anglia;Philosophy
University of Glasgow;Chinese Studies
University of Liverpool;Advanced Chemical Sciences
School of Oriental and African Studies;Arts of Asia and Africa
University of Nottingham;Computer Science and Entrepreneurship
University of Strathclyde;Analysis of Medicines
University of Birmingham;Environmental Science, Risk Management and Research
University of Southampton;Electrical and Electronic Engineering
Coventry University;Biomedical Science and Applied Biomedical Science
University of Oxford;African Studies
University of Glasgow;International Law
Nottingham Trent University;Marketing
University of Sussex;Philosophy
University of York;Railway Studies and Transport History
University of Leicester;Archaeology and Heritage
Falmouth University;Journalism and Communications
London School of Economics and Political Science;Risk and Stochastics
University of Oxford;Music
School of Oriental and African Studies;Linguistics
The Queen's University Belfast;Electrical and Electronic Engineering (Sandwich)
University of London;Computer and Communications Law
University of Oxford;Medical Anthropology
University of East Anglia;English Literature and Philosophy
London School of Economics and Political Science;Human Geography (Research)
Coventry University;Banking and Finance
University of Surrey;European Politics and Policy
Anglia Ruskin University;Town Planning
University of Leicester;Learning and Visitor Studies in Museums and Galleries
Bangor University;Environmental Chemistry
University of Kent at Canterbury;Politics and International Relations with a Year in North America
Middlesex University;Environmental and Public Health
Bangor University;Neuroimaging
University of Dundee;Geography and Psychology
University of Surrey;Theatre Studies
Imperial College London;Chemistry with Research Abroad
Sheffield Hallam University;English Studies
University of Leeds;International Banking and Finance Law
University of Bedfordshire;International Tourism Management
London School of Economics and Political Science;Global Politics (Global Civil Society)
University of Essex;Environmental Governance
Imperial College London;Sustainable Energy Futures
University of Greenwich;Agriculture for Sustainable Development
Imperial College London;Immunology
University of Bath;Mechanical Engineering
The Robert Gordon University;Information Management
University of Bristol;Accounting and Finance
Brunel University Uxbridge;Electronic and Microelectronic Engineering
University of Essex;Psycholinguistics
University of Birmingham;Chemical Engineering with Integrated Study
University of Leeds;Childhood Studies
King's College London;Advanced Practice (Critical Care)
University of Oxford;Sociology
University of Gloucestershire;Computing with Systems Security Management
University of Greenwich;Extended Manufacturing Systems Engineering
Sheffield Hallam University;Forensic Accounting
University of London;Sustainable Development
Imperial College London;Geophysics
Middlesex University;Advertising, Public Relations and Media
University of Kent at Canterbury;Business Information Technology
Glasgow Caledonian University;International Sports Management
Ulster University London Campus;Marketing
University of Edinburgh;Theoretical Linguistics
Kingston University;Web Development
University of Greenwich;Financial Mathematics
London School of Economics and Political Science;Social Research Methods
University of Birmingham;English Literature and Research
Imperial College London;Chemistry with Molecular Physics and a Year in Industry
University of Kent at Canterbury;Politics and International Relations with a Year in China and Hong Kong
Napier University;Health and Social Welfare Law
University of Leeds;Lead-free Piezoelectric Materials in collaboration with AWE
Imperial College London;Environmental Technology
University of Manchester;Medical Sciences
University of Leeds;Business Psychology
University of Manchester;Maternal and Fetal Health
Imperial College London;Chemistry with Management
School of Oriental and African Studies;International Politics
King's College London;Maxillofacial Prosthetic Rehabilitation
University of Birmingham;Archaeology and Ancient History
University of Glasgow;International Real Estate and Management
University of Stirling;Strategic Public Relations and Communication Management
University of Bristol;Advanced Composites (Centre for Doctoral Training)
School of Oriental and African Studies;Environment, Politics and Development
University of Teesside;Criminology
Brunel University Uxbridge;International Relations
University of Southampton;Accounting and Management
University of Exeter;In Liberal Arts
Oxford Brookes University;Human Resource Management
University of Southampton;Computer Science with Distributed Systems and Networks
University of Cambridge;Film and Screen Studies
University of the West of England;Fine Art
University College London;Statistics and Management for Business
Imperial College London;Applied Biosciences and Biotechnology
Falmouth University;Computing for Games
University of Lancaster;Language Studies
University of Essex;Computer Science
University of London;Livestock Health and Production
Metropolitan University;Health Psychology
University of Leicester;Management, Finance and Accounting
University of East Anglia;Meteorology and Oceanography with a Year in Europe
Brunel University Uxbridge;Advanced Engineering Design
Imperial College London;Finance
University of East London;Information Security
University of Oxford;Politics Research
University of Edinburgh;Accounting and Finance
Imperial College London;Paediatrics and Child Health
Cardiff University;Law
University of Surrey;Communication Networks and Software
Anglia Ruskin University;Business Information Systems
University of Stirling;International Banking and Finance
University of Northumbria at Newcastle;Animation
University of Warwick;Management for Business Excellence (MBE)
University of Sussex;Robotics and Autonomous Systems
University of Newcastle-upon-Tyne;Industrial and Commercial Biotechnology
University of Leeds;Multi-physics Model for Deposition and Coating of Fluid Onto Substrate
University of Stirling;International Business, Finance, Marketing and Humanities
Birkbeck College;Philosophy
Imperial College London;Programme in Statistics
Anglia Ruskin University;Teaching and Learning
University of Edinburgh;Management of Bioeconomy, Innovation and Governance
University College London;Statistics Economics and Finance
Imperial College London;Bioinformatics and Theoretical Systems Biology
London School of Economics and Political Science;Health Policy, Planning and Financing
The Robert Gordon University;Sports Biomechanics
London School of Economics and Political Science;Management Science (Decision Sciences)
University of East Anglia;English Literature and Drama
University of Exeter;International Film Business
The University of Buckingham;Global Affairs
University of Liverpool;Applied Linguistics
University of Essex;Accounting and Management
Sheffield Hallam University;Advancing Physiotherapy
University of Essex;History with Film Studies
University of Oxford;Sociology
University of Northampton;Arts
Kingston University;Creative Writing and Publishing
Brunel University Uxbridge;Experimental Music
London School of Economics and Political Science;Management
University of Oxford;Experimental Psychology
Bournemouth University;Business Information Technology
Glasgow Caledonian University;Nursing
University of Greenwich;Biological Sciences
University of Leeds;Biofiltration systems for optimized stormwater management in urban areas
University of Nottingham;Interactive Systems Design
University of Northumbria at Newcastle;3D Design
University of Dundee;Civil Engineering Design and Management
London School of Economics and Political Science;Actuarial Science
University of York;Forensic Psychology Studies
London School of Economics and Political Science;TRIUM Global Executive Business Administration
Open University;Computing
Oxford Brookes University;Finance
University of Nottingham;Chemistry and Entrepreneurship
University of Leeds;Organizational Psychology
School of Oriental and African Studies;History of Art and and or Archaeology
Kingston University;Media and Communication
University of Essex;Mathematics (including Year Abroad)
University of Kent at Canterbury;Philosophy and Computing
Glasgow Caledonian University;Multimedia Journalism
University of Essex;Computational Economics, Financial Markets and Policy
Durham University;Visual Arts and Culture
Durham University;Modern History
University of Bath;Health
Glasgow Caledonian University;Advanced Nursing
Kingston University;Fashion and the Creative Economy
Oxford Brookes University;Sustainable Building: Performance and Design
University of Leicester;Applied Linguistics and TESOL
University of Greenwich;International Business
Institute of Education;Education and International Development
University of Southampton;Philosophy
University of Gloucestershire;Composite Accounting and Information Systems
Imperial College London;Materials Science and Engineering
University of Greenwich;English Language and English Language Teaching (ELT)
Anglia Ruskin University;Hospital Administration
University of York;Economics and Philosophy
University of Birmingham;Physics and Astronomy (Theoretical Physics Specialism)
University of Glasgow;Translational Medical Sciences
University of Law Business School;MA Law
University of Southampton;Wireless Communications
University of Glasgow;Investment Fund Management
Oxford Brookes University;Management in Health and Social Care
University of Hull;Computer Science
University of Wales;Creative Writing
Brunel University Uxbridge;Health Information for Clinical Management
Bournemouth University;Bournemouth Business Administration
University of York;Computer Systems and Software Engineering
London Academy of Trading;Trading Psychology
Brunel University Uxbridge;Performance, BMus
Glasgow Caledonian University;Human Biology with Sociology and Psychology
Online Business School;Business Management
Bangor University;Marine Environmental Protection
University of Surrey;European and International Politics
University of Leeds;Funded Studentship: Lead-free Piezoelectric Materials in collaboration with AWE plc
University of London;Digital Signal Processing
University of London;Psychological Therapies
University of Nottingham;Environmental Management
University of Cambridge;Veterinary Medicine
Institute of Education;History of Education
University of London;International Relations
